bike_name,brand,bike_url,rating,rating_count,engine_cc,mileage_kmpl,power_bhp,weight_kg,ex_showroom_price,price_segment,power_to_weight,price_per_bhp
Honda SP 125,Honda,/honda-bikes/sp-125/,4.6,4548.0,123.94,63.0,10.72,117.0,90636,Under 1 Lakh,0.09162393162393163,8454.850746268656
Yamaha MT 15 V2,Yamaha,/yamaha-bikes/mt-15/,4.7,1866.0,155.0,47.0,18.1,141.0,166582,1–2 Lakh,0.12836879432624115,9203.42541436464
Royal Enfield Hunter 350,Royal Enfield,/royalenfield-bikes/hunter-350/,4.7,1792.0,349.34,36.2,20.2,181.0,137640,1–2 Lakh,0.11160220994475138,6813.861386138614
Royal Enfield Classic 350,Royal Enfield,/royalenfield-bikes/classic-350/,4.6,47.0,349.0,34.0,20.2,195.0,187434,1–2 Lakh,0.10358974358974359,9278.91089108911
Bajaj Pulsar N160 2V,Bajaj,/bajaj-bikes/pulsar-n160/,4.6,1278.0,164.82,51.6,15.68,152.0,122990,1–2 Lakh,0.1031578947368421,7843.75
Royal Enfield Bullet 350,Royal Enfield,/royalenfield-bikes/bullet/,4.7,1574.0,349.0,35.0,20.2,195.0,165656,1–2 Lakh,0.10358974358974359,8200.79207920792
Royal Enfield Himalayan 440,Royal Enfield,/royalenfield-bikes/himalayan-440/,4.6,26.0,443.0,32.0,25.4,199.0,229000,2–5 Lakh,0.12763819095477386,9015.748031496063
TVS Ronin,TVS,/tvs-bikes/ronin/,4.6,1157.0,225.9,42.0,20.1,160.0,130314,1–2 Lakh,0.12562500000000001,6483.283582089552
Jawa All Stars 42 Bobber,Jawa,/jawa-bikes/all-stars-42-bobber/,4.3,6.0,334.0,30.0,29.51,185.0,210979,2–5 Lakh,0.15951351351351353,7149.406980684514
TVS Raider 125,TVS,/tvs-bikes/raider-125/,4.4,2956.0,124.8,56.7,11.2,123.0,86397,Under 1 Lakh,0.09105691056910568,7714.017857142858
TVS iQube,TVS,/tvs-bikes/iqube/,3.7,880.0,,,,129.7,119251,1–2 Lakh,,
TVS Apache RTR 160,TVS,/tvs-bikes/apache-160/,4.5,3349.0,159.7,61.0,15.82,138.0,110781,1–2 Lakh,0.11463768115942029,7002.591656131479
Yamaha XSR 155,Yamaha,/yamaha-bikes/xsr-155/,4.6,276.0,155.0,46.0,18.1,137.0,150957,1–2 Lakh,0.13211678832116788,8340.165745856353
Hero Xtreme 125R,Hero,/hero-bikes/xtreme-125r/,4.6,1900.0,124.7,66.0,11.4,136.0,92841,Under 1 Lakh,0.08382352941176471,8143.9473684210525
Jawa All Star 42,Jawa,/jawa-bikes/all-star-42/,3.8,3.0,294.72,32.0,26.94,184.0,186913,1–2 Lakh,0.14641304347826087,6938.121752041574
Royal Enfield Continental GT 650,Royal Enfield,/royalenfield-bikes/continental-gt-650/,4.7,24.0,648.0,23.0,47.0,211.0,358427,2–5 Lakh,0.22274881516587677,7626.106382978724
Ather Konarc,Ather,/ather-bikes/konarc/,4.8,37.0,,,,129.0,100099,1–2 Lakh,,
Royal Enfield Meteor 350,Royal Enfield,/royalenfield-bikes/meteor-350/,4.7,249.0,349.34,32.0,20.2,191.0,199447,1–2 Lakh,0.10575916230366492,9873.613861386139
Hero Splendor Plus,Hero,/hero-bikes/splendor-plus/,4.6,4855.0,97.2,63.0,7.91,112.0,77124,Under 1 Lakh,0.07062500000000001,9750.189633375474
Royal Enfield Guerrilla 450,Royal Enfield,/royalenfield-bikes/guerrilla-450/,4.7,71.0,452.0,28.0,39.47,185.0,251063,2–5 Lakh,0.21335135135135133,6360.856346592349
Royal Enfield Himalayan 450,Royal Enfield,/royalenfield-bikes/himalayan/,4.7,402.0,451.65,29.0,39.47,195.0,308029,2–5 Lakh,0.2024102564102564,7804.129718773753
Bajaj Pulsar NS400Z,Bajaj,/bajaj-bikes/pulsar-ns400z/,4.5,43.0,349.13,32.0,40.04,176.0,186150,1–2 Lakh,0.2275,4649.100899100899
TVS Jupiter 125,TVS,/tvs-bikes/jupiter-125/,4.1,933.0,124.8,50.0,8.04,108.0,87469,Under 1 Lakh,0.07444444444444444,10879.228855721394
Yezdi Roadster,Yezdi,/yezdi-bikes/roadster/,4.5,211.0,334.0,30.0,28.7,184.0,201940,2–5 Lakh,0.1559782608695652,7036.23693379791
Honda Shine,Honda,/honda-bikes/shine/,4.4,4063.0,123.94,55.0,10.63,113.0,83683,Under 1 Lakh,0.09407079646017699,7872.342427093132
TVS Jupiter,TVS,/tvs-bikes/jupiter/,4.5,1164.0,113.3,53.84,7.91,106.0,77352,Under 1 Lakh,0.07462264150943396,9779.013906447535
Honda Activa,Honda,/honda-bikes/activa-6g/,4.4,4275.0,109.51,47.0,7.88,105.0,78687,Under 1 Lakh,0.07504761904761904,9985.659898477157
Jawa All Stars 42 FJ,Jawa,/jawa-bikes/all-stars-42-fj/,4.0,4.0,334.0,30.0,28.77,184.0,203529,2–5 Lakh,0.15635869565217392,7074.3482794577685
TVS Ntorq 125,TVS,/tvs-bikes/ntorq-125/,4.4,2301.0,124.8,48.5,9.25,109.0,90558,Under 1 Lakh,0.08486238532110092,9790.054054054053
Harley-Davidson X440,Harley-Davidson,/harleydavidson-bikes/x440/,4.8,795.0,440.0,35.0,27.0,190.5,235000,2–5 Lakh,0.14173228346456693,8703.703703703704
Bajaj Pulsar NS200,Bajaj,/bajaj-bikes/pulsar-ns/,4.7,3345.0,199.5,36.0,24.13,158.0,139279,1–2 Lakh,0.15272151898734176,5772.026523000414
Yamaha Ray ZR 125,Yamaha,/yamaha-bikes/ray-zr-125/,4.0,10.0,125.0,49.0,8.04,99.0,81820,Under 1 Lakh,0.08121212121212121,10176.616915422886
Honda CB350RS,Honda,/honda-bikes/cb350rs/,4.6,255.0,348.36,35.0,20.78,180.0,198333,1–2 Lakh,0.11544444444444445,9544.4177093359
Suzuki Access 125,Suzuki,/suzuki-bikes/access-125/,4.6,1100.0,124.0,47.0,8.3,105.0,84729,Under 1 Lakh,0.07904761904761906,10208.313253012047
Bajaj Pulsar N160 4V,Bajaj,/bajaj-bikes/pulsar-n160-4v/,4.5,35.0,164.5,51.6,18.24,151.0,134479,1–2 Lakh,0.12079470198675496,7372.752192982457
KTM 250 Duke,KTM,/ktm-bikes/duke-250/,4.8,448.0,249.07,31.0,30.57,162.8,226277,2–5 Lakh,0.18777641277641277,7401.929996728819
Yamaha R2,Yamaha,/yamaha-bikes/r2/,4.6,18.0,204.0,35.5,26.5,150.0,231496,2–5 Lakh,0.17666666666666667,8735.698113207547
Bajaj Pulsar 125,Bajaj,/bajaj-bikes/pulsar-125/,3.4,17.0,124.4,50.0,11.8,,93507,Under 1 Lakh,,7924.322033898305
TVS Apache RTR 160 4V,TVS,/tvs-bikes/apache-rtr-160-4v/,4.5,2334.0,159.7,41.4,17.31,146.0,116484,1–2 Lakh,0.11856164383561643,6729.289428076257
Yamaha FZ S Hybrid,Yamaha,/yamaha-bikes/fz-s-hybrid/,4.7,185.0,149.0,60.0,12.2,136.0,141760,1–2 Lakh,0.08970588235294118,11619.672131147541
Triumph Speed 400,Triumph,/triumph-bikes/speed-400/,4.1,60.0,349.0,28.0,36.49,179.0,234302,2–5 Lakh,0.20385474860335195,6420.992052617155
Yamaha FZS FI V4,Yamaha,/yamaha-bikes/fzs-fi-v4/,4.6,506.0,149.0,50.0,12.2,137.0,120402,1–2 Lakh,0.08905109489051094,9869.016393442624
Honda Rebel 300,Honda,/honda-bikes/rebel-300/,4.8,11.0,286.0,26.0,30.0,172.0,222000,2–5 Lakh,0.1744186046511628,7400.0
Bajaj Chetak,Bajaj,/bajaj-bikes/chetak/,3.7,742.0,,,,,119056,1–2 Lakh,,
Yamaha FZ X,Yamaha,/yamaha-bikes/fz-x/,4.0,663.0,149.0,47.0,12.2,139.0,126538,1–2 Lakh,0.08776978417266186,10371.967213114754
Honda Unicorn,Honda,/honda-bikes/unicorn/,4.4,1822.0,162.71,50.0,13.0,139.0,115241,1–2 Lakh,0.09352517985611511,8864.692307692309
Honda Activa 125,Honda,/honda-bikes/activa-125/,4.5,2135.0,123.92,47.0,8.3,106.0,92806,Under 1 Lakh,0.07830188679245284,11181.445783132529
Hero Splendor Plus Xtec,Hero,/hero-bikes/splendor-plus-xtec/,4.6,914.0,97.2,73.0,7.9,113.6,81361,Under 1 Lakh,0.06954225352112677,10298.860759493671
Hero Xpulse 200 4V,Hero,/hero-bikes/xpulse-200-4v/,4.5,657.0,199.6,32.9,18.9,161.0,145420,1–2 Lakh,0.11739130434782608,7694.179894179895
Honda SP160,Honda,/honda-bikes/sp160/,4.5,383.0,162.71,50.0,13.27,140.0,117859,1–2 Lakh,0.09478571428571428,8881.612660135645
Bajaj Pulsar NS125,Bajaj,/bajaj-bikes/pulsar-ns125/,4.5,979.0,124.45,46.9,11.8,144.0,94043,Under 1 Lakh,0.08194444444444444,7969.745762711864
KTM 390 Duke,KTM,/ktm-bikes/390-duke/,4.6,27.0,349.32,28.0,40.9,168.3,283913,2–5 Lakh,0.2430184194890077,6941.6381418092915
TVS Apache RTX,TVS,/tvs-bikes/apache-rtx/,4.7,165.0,299.0,32.5,35.5,180.0,199496,1–2 Lakh,0.19722222222222222,5619.605633802817
Aprilia RS 457,Aprilia,/aprilia-bikes/rs-457/,4.8,31.0,457.0,24.0,46.9,175.0,433431,2–5 Lakh,0.268,9241.599147121535
Yamaha Aerox 155,Yamaha,/yamaha-bikes/aerox-155/,4.5,362.0,155.0,40.0,14.75,126.0,146264,1–2 Lakh,0.11706349206349206,9916.203389830509
BMW G310 RR,BMW,/bmw-bikes/g310-rr/,4.8,459.0,312.12,30.0,33.5,174.0,289994,2–5 Lakh,0.1925287356321839,8656.537313432837
Honda CB 125 Hornet,Honda,/honda-bikes/cb-125-hornet/,4.7,271.0,123.94,55.0,10.99,124.0,115312,1–2 Lakh,0.08862903225806452,10492.447679708826
KTM 200 Duke,KTM,/ktm-bikes/duke-200/,4.7,634.0,199.5,35.0,24.67,159.0,191570,1–2 Lakh,0.15515723270440251,7765.301986218078
Honda CB350,Honda,/honda-bikes/cb350/,4.7,277.0,348.36,35.0,20.7,186.0,197034,1–2 Lakh,0.11129032258064515,9518.550724637682
TVS Apache RR 310,TVS,/tvs-bikes/apache-rr-310/,4.7,208.0,312.2,34.7,37.54,174.0,262265,2–5 Lakh,0.2157471264367816,6986.281299946723
Hero HF Deluxe,Hero,/hero-bikes/hf-deluxe/,4.5,3914.0,97.2,65.0,7.91,112.0,58688,Under 1 Lakh,0.07062500000000001,7419.469026548672
Bajaj Dominar 400,Bajaj,/bajaj-bikes/dominar-400/,4.5,48.0,349.13,30.0,40.04,190.0,208330,2–5 Lakh,0.21073684210526317,5203.046953046954
Yamaha FZ FI,Yamaha,/yamaha-bikes/fz-v3/,4.5,572.0,149.0,46.0,12.2,135.0,116358,1–2 Lakh,0.09037037037037036,9537.540983606557
Bajaj Pulsar 150,Bajaj,/bajaj-bikes/pulsar-150/,3.8,9.0,149.5,47.0,14.0,,115300,1–2 Lakh,,8235.714285714286
Bajaj Pulsar N250,Bajaj,/bajaj-bikes/pulsar-n250/,4.5,440.0,249.0,44.0,24.1,164.0,145487,1–2 Lakh,0.14695121951219514,6036.804979253112
Yamaha Fascino 125,Yamaha,/yamaha-bikes/fascino-125/,4.2,10.0,125.0,49.0,8.04,99.0,81264,Under 1 Lakh,0.08121212121212121,10107.462686567165
Royal Enfield Super Meteor 650,Royal Enfield,/royalenfield-bikes/super-meteor-650/,4.8,232.0,648.0,23.7,46.3,241.0,405988,2–5 Lakh,0.1921161825726141,8768.639308855292
Honda Hness CB350,Honda,/honda-bikes/hness-cb350/,4.6,309.0,348.36,35.0,20.78,181.0,193536,1–2 Lakh,0.11480662983425415,9313.570741097208
Honda Dio,Honda,/honda-bikes/dio/,4.6,2166.0,109.51,48.0,7.75,106.0,74820,Under 1 Lakh,0.07311320754716981,9654.193548387097
Bajaj Pulsar NS160,Bajaj,/bajaj-bikes/pulsar-ns-160/,4.6,1694.0,160.3,52.2,17.03,152.0,126819,1–2 Lakh,0.11203947368421054,7446.799765120375
VIDA VX2,VIDA,/vida-bikes/vx2/,4.3,287.0,,,,,109590,1–2 Lakh,,
Ather Rizta,Ather,/ather-bikes/rizta/,4.4,395.0,,,,119.0,120705,1–2 Lakh,,
Hero Glamour X 125,Hero,/hero-bikes/glamour-x-125/,4.6,354.0,124.7,65.0,11.4,127.0,89563,Under 1 Lakh,0.08976377952755905,7856.403508771929
KTM 390 Adventure,KTM,/ktm-bikes/390-adventure/,4.3,22.0,349.32,28.0,40.93,181.0,287986,2–5 Lakh,0.22613259668508287,7036.06156853164
Hero Xpulse 210,Hero,/hero-bikes/xpulse-210/,4.4,256.0,210.0,37.0,24.2,170.0,166777,1–2 Lakh,0.14235294117647057,6891.611570247934
Royal Enfield Shotgun 650,Royal Enfield,/royalenfield-bikes/shotgun-650/,4.8,164.0,648.0,22.0,46.39,240.0,401002,2–5 Lakh,0.19329166666666667,8644.147445570166
Kawasaki Z900,Kawasaki,/kawasaki-bikes/z900/,4.9,57.0,948.0,21.0,123.6,212.0,999000,5–10 Lakh,0.5830188679245283,8082.524271844661
Honda Dio 125,Honda,/honda-bikes/dio-125/,4.6,223.0,123.92,47.0,8.19,104.0,94256,Under 1 Lakh,0.07875,11508.66910866911
Hero Xtreme 250R,Hero,/hero-bikes/xtreme-250r/,4.7,237.0,249.03,36.0,29.5,167.7,172591,1–2 Lakh,0.1759093619558736,5850.542372881356
Suzuki V-Strom SX,Suzuki,/suzuki-bikes/v-strom-sx/,4.6,225.0,249.0,36.0,26.1,167.0,203354,2–5 Lakh,0.15628742514970062,7791.340996168582
TVS Apache RTR 310,TVS,/tvs-bikes/apache-rtr-310/,4.8,65.0,312.12,30.0,35.08,169.0,225283,2–5 Lakh,0.2075739644970414,6421.978335233752
Yezdi Adventure,Yezdi,/yezdi-bikes/adventure/,4.4,98.0,334.0,30.0,29.16,187.0,208116,2–5 Lakh,0.15593582887700536,7137.037037037037
KTM 160 Duke,KTM,/ktm-bikes/160-duke/,4.8,84.0,164.2,36.5,18.73,147.0,183585,1–2 Lakh,0.12741496598639457,9801.655098772024
Honda Livo,Honda,/honda-bikes/livo/,4.4,1218.0,109.51,60.0,8.67,112.0,81031,Under 1 Lakh,0.07741071428571429,9346.136101499424
Keeway V302C,Keeway,/keeway-bikes/v302c/,4.5,87.0,298.0,36.0,29.09,167.0,448960,2–5 Lakh,0.17419161676646708,15433.48229632176
Royal Enfield Interceptor 650,Royal Enfield,/royalenfield-bikes/interceptor/,4.6,483.0,648.0,23.0,47.0,218.0,337909,2–5 Lakh,0.21559633027522937,7189.553191489362
BMW F 450 GS,BMW,/bmw-bikes/f-450-gs/,4.3,21.0,420.0,26.0,48.67,178.0,495000,2–5 Lakh,0.27342696629213487,10170.536264639408
Harley-Davidson X440 T,Harley-Davidson,/harleydavidson-bikes/x440-t/,4.8,46.0,440.0,30.0,27.37,192.0,286000,2–5 Lakh,0.14255208333333333,10449.397150164414
TVS Ntorq 150,TVS,/tvs-bikes/ntorq-150/,4.6,140.0,149.7,40.0,13.0,115.0,112349,1–2 Lakh,0.11304347826086956,8642.23076923077
Honda ADV 160,Honda,/honda-bikes/adv-160/,,,156.9,,16.9,,170000,1–2 Lakh,,10059.171597633136
Triumph Scrambler 400 X,Triumph,/triumph-bikes/scrambler-400-x/,4.0,18.0,349.0,27.0,36.49,185.0,264467,2–5 Lakh,0.19724324324324324,7247.65689229926
